4546572015@Theni- Madurai, India@9.9321764@78.0845602
4989792015@Gotland, Sweden@57.649684@18.714468
5295442014@Emboscada, Paraguay@-25.1246@-57.34986
7281883743@Sendhwa- Khargone, India@21.82576@75.6213
7901515262@Kanzaki District- Hyogo, Japan@35.056607@134.781845
4547522015@Giresun, Turkey@40.91753200000001@38.392653
4990692015@Mönsterås, Sweden@40.91753200000001@38.392653
5296462014@Emboscada, Paraguay@-25.1246@-57.34986
7282793743@Khargone- Khargone, India@21.83687@75.62175
7902415262@Kanzaki District- Hyogo, Japan@35.056607@134.781845
3449151326@Akdepe, Turkmenistan@42.042141@59.37941
5383151697@José Enrique Rodó, Uruguay@42.042141@59.37941
5975291755@Winschoten, Netherlands@53.14661@7.04508
6728781811@Jajapur Town- Cuttack, India@20.464874@85.866405
7362771816@Agar- Shajapur, India@23.71471@76.008369
3450051326@Libertad, Uruguay@23.71471@76.008369
5384081697@José Enrique Rodó, Uruguay@23.71471@76.008369
5976311755@Winschoten, Netherlands@53.14661@7.04508
6729641811@Pattamundai- Cuttack, India@20.464874@85.866405
7363881816@Berchha- Shajapur, India@23.28487@76.32495
4870831779@Tula region, Russian Federation@23.28487@76.32495
3568365532@Tokat, Turkey@40.3234643@36.5521928
4962377778@Mariannelund, Sweden@40.3234643@36.5521928
1705412014@Île-de-France, France@48.85693@2.3412
1706132014@Rochdale, United Kingdom@53.61899@-2.16277
7447505497@Gaflenz, Austria@47.89569@14.7229
8226449043@Chamrajnagar- Mysore, India@12.30896@76.65322
9242269043@Råneå, Sweden@12.30896@76.65322
7448645497@Kematen an der Ybbs, Austria@48.02702@14.76813
8227529043@T.Narsipur- Mysore, India@12.20966@76.90465
9243339043@Råneå, Sweden@12.20966@76.90465
1425962063@Ringwood, United Kingdom@50.84646@-1.79342
6497310050@Turks and Caicos Islands, Turks and Caicos Islands@21.694025@-71.797928
1425962063@Ringwood, United Kingdom@50.84646@-1.79342
6498120050@Turks and Caicos Islands, Turks and Caicos Islands@21.694025@-71.797928
3482674299@Berhampur- Berhampur, India@19.296437@84.796989
1190271108@Balaken, Azerbaijan@41.7037509@46.4044213
1190271108@Balaken, Azerbaijan@41.7037509@46.4044213
2275786513@Kerpen-Buir, Germany@50.873219@6.69235
2277266513@Zwentendorf, Austria@48.34485@15.91037
3568365532@Tokat, Turkey@40.3234643@36.5521928
1746269043@Bridgnorth, United Kingdom@52.53706@-2.42063
4936865416@Kalpetta- Calicut (Kozhikode), India@11.25881@75.78075
8766102015@Jamaica, Jamaica@18.1152@-77.15982
9886192015@Acanceh, Mexico@20.8126@-89.45344
1510602015@Liverpool, United Kingdom@53.4101@-2.97844
8767232015@Jamaica, Jamaica@18.1152@-77.15982
9886962015@Acanceh, Mexico@20.8126@-89.45344
1511492015@Liverpool, United Kingdom@53.4101@-2.97844
2476979870@Apure, Venezuela@7.89243@-67.47191
2222222222@Bornheim Rheinl, Germany@7.89243@-67.47191
3568365532@Tokat, Turkey@40.3234643@36.5521928
4870831779@Tula region, Russian Federation@40.3234643@36.5521928
3482674299@Berhampur- Berhampur, India@19.296437@84.796989
2326420017@Gaganbavada- Kolhapur, India@16.69316@74.19847
4897302904@Kadamath- Kavarathy, India@21.504394@82.71767
4962377778@Mariannelund, Sweden@21.504394@82.71767
4870831779@Tula region, Russian Federation@21.504394@82.71767
4962377778@Mariannelund, Sweden@21.504394@82.71767
1437320859@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1439239978@Helmsley, United Kingdom@54.24599@-1.06077
1437322797@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437030752@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1439238560@Helmsley, United Kingdom@54.24599@-1.06077
1437014753@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437020023@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437322156@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1439309000@Helmsley, United Kingdom@54.24599@-1.06077
1437320859@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1439239978@Helmsley, United Kingdom@54.24599@-1.06077
1437322797@Haverfordwest / Clynderwen, United Kingdom@NA@NA
1437030752@Haverfordwest / Clynderwen, United Kingdom@NA@NA
1439238560@Helmsley, United Kingdom@54.24599@-1.06077
1437014753@Haverfordwest / Clynderwen, United Kingdom@NA@NA
1437020023@Haverfordwest / Clynderwen, United Kingdom@NA@NA
1437322156@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1439309000@Helmsley, United Kingdom@54.24599@-1.06077
3568365532@Tokat, Turkey@40.3234643@36.5521928
3568365532@Tokat, Turkey@40.3234643@36.5521928
9746760199@Naoiri District- Oita, Japan@33.22738@131.501167
9747770199@Naoiri District- Oita, Japan@33.22738@131.501167
1575822015@Kirriemuir, United Kingdom@56.67543@-2.99838
2681902015@Altenkirchen Westerwald, Germany@50.68651@7.63991
3773242015@Johanngeorgenstadt, Germany@50.43299@12.71217
4608172015@Palanga, Lithuania@50.43299@12.71217
5913202015@Hällefors - Grythyttan, Sweden@50.43299@12.71217
1576642015@Lockerbie, United Kingdom@55.12175@-3.35473
2682762015@Hamm Sieg, Germany@50.7661418@7.677825899999999
3774562015@Golaghat- Jorhat, India@26.318524@94.0907019
4608892015@Palanga, Lithuania@26.318524@94.0907019
5914032015@Hällefors - Grythyttan, Sweden@26.318524@94.0907019
1990811121@Ramnagar- Udhampur, India@32.8055178@75.3164374
2373330000@Mahaswad- Satara, India@17.6334395@74.7871061
4897302904@Kadamath- Kavarathy, India@21.504394@82.71767
4897302904@Kadamath- Kavarathy, India@21.504394@82.71767
6655365497@Titlagarh- Balangir, India@20.2901@83.15119
3482674299@Berhampur- Berhampur, India@19.296437@84.796989
9993205416@Mérida- Yuc., Mexico@20.96672@-89.62322
1362544215@Dereham, United Kingdom@52.68023@0.94491
1222172246@Finspång, Sweden@52.68023@0.94491
6656265497@Tecate, Mexico@32.57291@-116.6265
4870831779@Tula region, Russian Federation@32.57291@-116.6265
1488983954@Hungerford, United Kingdom@51.41349@-1.51593
1488984661@Hungerford, United Kingdom@51.41349@-1.51593
1488983954@Hungerford, United Kingdom@51.41349@-1.51593
1488984661@Hungerford, United Kingdom@51.41349@-1.51593
3931561860@Stendal, Germany@52.60623@11.86083
4550901860@J.P.Varela, Uruguay@-32.565079@-55.758324
3933691860@Genthin, Germany@52.40564@12.15392
4551771860@Vedasandur- Madurai, India@9.91338@78.089847
2917345529@Monagas, Venezuela@9.3241652@-63.0147578
7001741334@Chitungwiza, Zimbabwe@-18.0235@31.05677
2918645529@Monagas, Venezuela@9.3241652@-63.0147578
7002301334@Chitungwiza, Zimbabwe@-18.0235@31.05677
3568365532@Tokat, Turkey@40.3234643@36.5521928
1190188597@Balaken, Azerbaijan@41.7037509@46.4044213
1190188597@Balaken, Azerbaijan@41.7037509@46.4044213
1430944710@North Cave / Market Weighton, United Kingdom@53.8473022@-0.6372897
3922562014@Karakol, Kyrgyz Republic@42.482121@78.39566
4962377778@Mariannelund, Sweden@42.482121@78.39566
1420917484@Alton, United Kingdom@51.14761@-0.97454
1429198795@Hartlepool, United Kingdom@54.68538@-1.21322
1429126346@Hartlepool, United Kingdom@54.68538@-1.21322
1425962473@Ringwood, United Kingdom@50.84646@-1.79342
1425958866@Ringwood, United Kingdom@50.84646@-1.79342
1425959881@Ringwood, United Kingdom@50.84646@-1.79342
1420785838@Alton, United Kingdom@51.14761@-0.97454
1429125021@Hartlepool, United Kingdom@54.68538@-1.21322
1420817580@Alton, United Kingdom@51.14761@-0.97454
1425962063@Ringwood, United Kingdom@50.84646@-1.79342
1429198314@Hartlepool, United Kingdom@54.68538@-1.21322
1429198911@Hartlepool, United Kingdom@54.68538@-1.21322
1420917484@Alton, United Kingdom@51.14761@-0.97454
1429198795@Hartlepool, United Kingdom@54.68538@-1.21322
1429126346@Hartlepool, United Kingdom@54.68538@-1.21322
1425962473@Ringwood, United Kingdom@50.84646@-1.79342
1425958866@Ringwood, United Kingdom@50.84646@-1.79342
1425959881@Ringwood, United Kingdom@50.84646@-1.79342
1420785838@Alton, United Kingdom@51.14761@-0.97454
1429125021@Hartlepool, United Kingdom@54.68538@-1.21322
1420817580@Alton, United Kingdom@51.14761@-0.97454
1425962063@Ringwood, United Kingdom@50.84646@-1.79342
1429198314@Hartlepool, United Kingdom@54.68538@-1.21322
1429198911@Hartlepool, United Kingdom@54.68538@-1.21322
1440714087@Haverhill, United Kingdom@52.08514@0.43582
1440703789@Haverhill, United Kingdom@52.08514@0.43582
1440713398@Haverhill, United Kingdom@52.08514@0.43582
1440639076@Haverhill, United Kingdom@52.08514@0.43582
1440619736@Haverhill, United Kingdom@52.08514@0.43582
1440714087@Haverhill, United Kingdom@52.08514@0.43582
1440703789@Haverhill, United Kingdom@52.08514@0.43582
1440713398@Haverhill, United Kingdom@52.08514@0.43582
1440639076@Haverhill, United Kingdom@52.08514@0.43582
1440619736@Haverhill, United Kingdom@52.08514@0.43582
1437161429@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437161372@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1066932015@Johannesburg, South Africa@-26.20489@28.04001
1559742015@Llandyssul, United Kingdom@52.043221@-4.31066
1437161504@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437161540@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
3749292015@Bolu, Turkey@40.732541@31.608209
1437237907@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437161617@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
